M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
Next Letter: a,,,,,,,,,,
a,48,-2.97,-1.64,-1.71,0.775,0,0.692,47.2,-0.2,39.1
a,49,-0.59,2.64,-3.66,0.768,0.023,0.699,47.2,0,39.4
a,52,1.12,0.38,0.25,0.777,0.002,0.683,47.4,0.1,39.7
a,49,2.52,2.03,-0.85,0.775,0.004,0.689,47.5,0.2,40
a,53,0.14,3.12,-1.16,0.763,0.02,0.696,47.3,0.3,40.3
a,48,0.63,1.23,-0.55,0.753,0.003,0.688,47.3,0.3,40.6
a,52,-2.79,-1.94,0.31,0.779,0.027,0.699,47.5,0.4,40.8
a,49,-1.69,-0.54,-1.95,0.771,0.014,0.678,47.7,0.4,40.8
a,50,-3.7,1.11,-4.15,0.754,-0.012,0.689,47.6,0.1,40.9
a,50,-18.6,-14.82,-12.26,0.913,0.027,0.628,49.4,-0.5,39.4
a,50,-28,-7.07,-9.15,0.968,-0.101,0.486,51.8,-2.4,37.1
a,50,-6.76,-72.44,76.72,1.608,-0.302,0.301,55.4,-2.8,40.9
a,50,1.91,-203.24,193.55,1.62,-0.402,0.508,65.5,-2.7,50.6
a,50,-33.12,-281.91,279,1.614,-0.53,0.83,79.6,-4.3,64.5
a,54,-76.34,-398.67,292.18,1.217,-0.535,0.694,101.2,-8.5,80.3
a,46,-40.08,-469.71,267.03,0.893,-0.513,0.171,113.2,-13.2,80.1
a,50,1.24,-444.38,189.21,0.308,-0.248,-0.023,122.7,-17,75.6
a,50,-5.66,-225.57,15.14,-0.044,0.11,-0.221,134,-17.2,76.4
a,50,-30.56,-74.15,-72.2,0.162,0.282,-0.1,121.3,-7.6,59.3
a,51,-77.86,-48.08,-157.16,0.058,0.137,-0.092,123.8,-11.5,51.3
a,49,-120.46,21.31,-232.66,0.238,-0.058,-0.212,111.4,-16.4,27.8
a,50,-144.57,69.1,-286.25,0.569,-0.154,-0.408,99.7,-21.9,6.2
a,56,-160.14,52.14,-278.07,1.015,-0.328,-0.886,96.7,-30.9,-9.3
a,48,-104.6,67.88,-181.51,1.623,-0.556,-1.444,93.5,-35.9,-18
a,47,-6.27,4.47,-2.38,1.632,-0.562,-1.623,93.3,-36.2,-18.2
a,52,116.05,35.23,157.41,1.321,-0.592,-1.201,91.4,-30.2,-10
a,48,157.18,-80.07,247.32,0.875,-0.523,-0.828,95.3,-22.6,1.9
a,50,194.84,-90.14,253.67,0.401,-0.482,-0.472,89.4,-16.6,6.9
a,50,202.47,-72.38,199.95,0.141,-0.48,-0.112,81.5,-16,12.4
a,51,165.61,42.55,127.87,0.049,-0.608,0.072,68.1,-18.7,17.1
a,50,45.37,93.58,72.27,0.267,-0.495,0.17,58,-22.5,20.2
a,49,-142.38,48.47,10.56,0.139,-0.251,0.132,51.2,-33,21.3
a,50,-244.49,90.71,-28.62,0.307,-0.07,0.155,48.8,-40.2,20.8
a,56,-288.49,108.96,-37.29,0.418,0.154,-0.369,43.2,-45.5,10
a,44,-216.84,173.41,-38.02,0.566,0.047,-1.154,34.2,-46.5,-2.5
a,53,-102.7,162.61,-34.11,0.994,-0.158,-1.698,25.6,-52,-4.3
a,48,36.4,38.04,5.01,0.899,-0.172,-1.887,23.7,-50.2,-4.1
a,50,155.54,-26.42,39.37,0.93,-0.177,-1.307,25.1,-42.4,-2.1
a,50,219.5,-91.17,51.64,0.643,-0.175,-0.838,30.7,-28.2,-7.3
a,50,278.09,-136.95,25.94,0.401,-0.243,-0.189,39.8,-16.4,-8.4
a,50,268.45,-180.04,-13.61,0.359,-0.454,0.023,47.2,-10.3,-7.4
a,51,244.83,-130.36,-50.9,0.124,-0.689,0.452,47.1,-6.5,-3.6
a,49,115.38,-79.15,-89.29,0.19,-1.272,0.756,50.9,-0.8,-7.9
a,51,-42.28,18.02,-54.81,0.248,-1.425,0.659,50,-3,-10.7
a,49,-147.2,151.07,26.19,0.861,-1.143,0.384,42.6,-10.2,-9.5
a,50,-199.63,151.32,68.67,0.679,-0.848,-0.024,35.6,-24.9,-5.3
a,50,-203.66,98.4,62.14,0.524,-0.536,-0.462,31.6,-35.4,-6.6
a,53,-131.63,96.2,19.29,0.498,-0.085,-0.73,27.6,-36.9,-13.1
a,48,-75.24,80.4,-18.55,0.475,0.19,-0.732,25,-32.6,-20.1
a,50,-15.61,201,-73.36,0.455,0.065,-0.405,19.9,-27.4,-26.4
a,50,-4.86,227.18,-121.64,0.897,-0.262,0.102,18.2,-25.9,-26.7
a,50,-13.23,242.14,-133.11,0.97,-0.435,0.262,14.5,-26.1,-26.3
a,50,-21.59,237.01,-162.96,0.85,-0.44,0.386,10.6,-26.9,-26
a,51,-6.33,204.11,-177.43,1.248,-0.306,0.37,10.5,-25.1,-27.3
a,50,18.88,154,-137.33,1.314,-0.356,0.366,2.8,-24.2,-34.2
a,51,25.41,112.26,-90.63,1.451,-0.301,0.285,-2.9,-22.9,-38.8
a,52,28.03,110.36,-20.26,1.215,-0.236,0.458,2.7,-19.8,-30.9
a,51,22.42,21.68,-1.4,1.146,-0.074,0.152,13.6,-16.4,-25.2
a,48,31.15,17.77,14.16,0.816,-0.004,0.567,19.1,-12.7,-15.6
a,52,18.45,-0.78,6.78,0.821,-0.051,0.666,23.9,-10.4,-7.1
Next Letter: b,,,,,,,,,,
b,51,-1.69,-3.16,-1.28,0.822,0.049,0.591,54.3,2.8,34
b,49,-0.41,-0.6,-1.28,0.846,0.069,0.589,54.5,3,34
b,50,-2.61,-4.99,0.31,0.901,0.055,0.568,55.1,2.9,33.8
b,50,-10.78,25.46,0.25,0.934,0.077,0.266,56.8,2.7,31.1
b,50,25.29,-34.53,107.24,1.804,-0.168,0.177,58.5,3.9,36.5
b,50,29.01,-171.74,239.02,1.948,-0.214,0.417,67.1,5.4,48.4
b,50,-9.69,-268.12,315.86,1.631,-0.312,0.703,80.5,4.9,64.2
b,50,-38.74,-372.3,320.87,1.171,-0.353,0.614,99.1,3,80.3
b,50,6.73,-504.08,284.79,0.706,-0.23,0.41,114.1,0.4,84.7
b,52,56.35,-430.77,162.78,-0.139,-0.198,0.348,113.2,-1.3,87.4
b,48,24.55,-173.57,6.9,-0.072,-0.038,0.112,121.5,-0.1,87.8
b,50,-75.79,-12.99,-94.23,-0.023,-0.049,0.317,122.2,-3.9,83.1
b,50,-167.58,62.33,-172.79,0.209,-0.089,0.144,119.1,-12.3,74.4
b,50,-214.83,123.3,-229.55,0.377,-0.151,-0.35,102.7,-22,47.4
b,50,-162.82,158.4,-209.35,1.231,-0.478,-1.194,94.7,-30.2,36.9
b,50,-2.18,70.75,-60.6,1.65,-0.948,-1.781,91.2,-30.3,33.9
b,50,107.26,-62.55,91.07,1.416,-0.858,-1.362,94.3,-24.9,38.4
b,50,166.22,-107.23,162.36,0.874,-0.813,-0.908,99.7,-16.6,46.6
b,50,166.46,-127.49,190.98,0.656,-0.902,-0.323,95.3,-14.7,45.3
b,50,124.16,-65.6,193.91,0.536,-0.779,-0.092,89,-15.5,45.9
b,50,39.02,-4.2,165.84,0.25,-0.553,0.08,79.4,-21.2,47.2
b,51,-79.21,19.73,112.55,0.23,-0.198,0.157,73,-26.8,49.1
b,50,-160.99,-5.54,58.48,-0.139,0.069,0.142,73.3,-34.8,52
b,54,-187.79,77.34,-12.14,-0.204,0.27,-0.297,54.7,-32.7,37.4
b,46,-117.78,100.54,-91.67,0.089,0.361,-1.019,43.3,-29.5,17.8
b,52,19.24,45.48,-145.69,0.311,0.031,-1.501,36.5,-24,-3.1
b,48,159.44,71.97,-151.61,0.881,-0.677,-1.035,33.1,-16.4,-10.4
b,51,161.82,12.89,-83,0.863,-1.404,-0.451,32.4,-8.1,-14.6
b,49,101.7,-6.88,8.12,0.72,-1.529,-0.204,32.7,-3.1,-14.2
b,50,27.85,25.59,92.66,0.546,-1.186,-0.123,30.4,-11.2,-8.9
b,50,-30.07,66.48,132.33,0.511,-0.836,-0.158,27.7,-19.4,-3.4
b,50,-90.86,87.48,133.06,0.318,-0.564,-0.162,24.1,-29,0.7
b,50,-164.65,113.42,88.63,0.24,-0.293,-0.182,20.9,-38.3,0.5
b,50,-204.02,109.39,24.6,0.143,0.031,-0.399,16,-40.6,-9
b,50,-173.32,99.38,-56.64,0.261,0.339,-0.954,11.6,-39,-19.9
b,51,-18.84,86.87,-144.41,0.477,0.31,-1.373,7.2,-40,-27.3
b,74,113.06,19.12,-194.39,0.857,0.028,-1.275,5.7,-31.6,-41.7
b,29,194.11,-33.31,-192.56,1.138,-0.504,-0.785,6.7,-26,-47.3
b,46,219.62,-64.32,-146.18,1.068,-0.501,-0.215,17.7,-17.2,-47.4
b,50,159.99,-13.96,-68.72,0.808,-0.765,-0.012,22.6,-14.3,-43.3
b,51,40.42,81.86,-12.26,0.764,-0.704,0.089,22.7,-16.8,-36.6
b,52,-40.14,161.21,-0.91,0.671,-0.59,0.123,19.4,-22.2,-30
b,48,-106,240.73,-27.89,0.724,-0.438,0.092,15.4,-27.8,-25.7
b,50,-141.64,231.82,-69.21,0.84,-0.206,0.008,14.7,-31.7,-24.7
b,50,-133.47,216.14,-106.14,0.848,-0.032,0.045,16.2,-33,-25.1
b,52,-88.91,305.49,-129.33,1.103,0.094,0.254,11.7,-31.3,-25.1
b,49,-58.33,153.76,-104.12,1.337,-0.042,0.202,15.7,-29.3,-24.4
b,50,-11.21,130.32,-58.9,1.331,-0.071,0.252,19.7,-25.8,-21.6
b,51,-0.84,61.6,-29.66,1.014,-0.035,0.347,24.7,-22.2,-16.8
b,52,23.64,53.23,-3.78,1.167,-0.08,0.47,28.8,-18.4,-11.2
b,47,7.46,-6.27,1.96,0.778,-0.081,0.569,32.8,-16.1,-4
b,50,2.4,8.37,-1.28,0.848,-0.052,0.634,35.5,-14,2
b,50,1.85,16.49,1.71,0.801,0.029,0.564,37.7,-11.6,7.1
b,50,-1.02,12.89,-3.29,0.837,0.033,0.63,39.4,-9.6,11.4
b,50,-3.03,-3.34,-5.86,0.85,0.005,0.617,41.8,-8.2,14.8
b,50,-5.17,-4.44,-4.7,0.822,0.028,0.655,43.4,-7,18.2
b,52,-3.77,-8.72,-4.57,0.79,0.037,0.631,45,-5.8,21.1
b,49,-0.47,-0.96,-1.89,0.834,0.025,0.637,46.2,-4.7,23.4
b,52,0.38,-8.04,0.98,0.801,0.035,0.604,47.5,-3.7,25.5
b,49,1.91,-1.15,1.35,0.805,0.038,0.619,48.3,-2.8,27.4
Next Letter: c,,,,,,,,,,
c,50,-1.75,1.23,-3.05,0.865,0.037,0.503,60.6,1.2,28.9
c,59,-3.52,6.85,-7.56,0.915,0.053,0.503,60.3,1.3,28.5
c,42,-1.75,-0.84,-3.11,0.892,0.001,0.479,60.6,1,28.4
c,50,-6.08,-0.35,0.68,0.959,0.011,0.415,61.5,0.7,27.7
c,54,-14.14,20.46,9.16,1.21,-0.118,0.095,63.8,-0.9,24.6
c,47,13.51,-57.54,87.83,2.03,-0.295,0.033,66.5,-0.3,28.7
c,50,31.45,-202.62,176.33,1.781,-0.362,0.275,76.6,1.3,37.5
c,52,15.58,-340.69,224.25,1.517,-0.431,0.61,94.3,2.1,49.2
c,51,-4.93,-426.75,231.75,1.185,-0.425,0.596,116.1,1.9,61
c,49,-19.88,-390.98,199.1,0.771,-0.612,0.307,122.2,-4.7,62.8
c,50,-59.92,-351.12,156.19,0.496,-0.667,-0.093,124.3,-14.5,59
c,50,-106.85,-298.08,103.15,0.063,-0.271,-0.417,119.4,-21.8,46.1
c,57,-43.01,-198.11,38.52,0.008,0.321,-0.808,111.1,-17.3,30.8
c,43,57.88,-166.61,-39.06,-0.36,0.46,-0.749,97.2,-8.3,17
c,53,89.01,-94.9,-100.83,-0.076,0.238,-0.414,85.5,1.4,1
c,48,56.72,-59.19,-145.26,-0.059,-0.009,-0.181,88.4,4.1,-5.9
c,51,5.08,-17.14,-169,0.251,-0.448,-0.17,80,-4.7,-15.1
c,49,-27.39,38.04,-181.09,0.429,-0.81,-0.065,70.6,-14.4,-21
c,53,-62.79,61.35,-144.28,0.546,-1.096,-0.242,61.1,-24.3,-26
c,47,-74.32,128.86,-90.69,0.577,-1.42,-0.279,55.1,-27.8,-30.3
c,52,-106.24,139.9,-25.81,0.625,-1.163,-0.438,47.8,-33.3,-31.6
c,48,-144.57,152.84,47.92,0.686,-1.044,-0.613,40.5,-40.2,-29.3
c,50,-156.29,135.94,89.42,0.695,-0.651,-0.824,33.7,-48,-24.9
c,57,-118.51,97.24,102.85,0.7,-0.364,-1.016,28.1,-54.8,-19
c,44,-15.3,87.66,91.19,0.596,-0.035,-1.147,24.8,-47.4,-22.1
c,53,51.84,110.55,61.47,0.505,0.018,-0.842,20.7,-37.8,-24.9
c,48,61.6,146.37,21.73,0.508,-0.017,-0.487,18.6,-29.8,-26.8
c,50,43.05,226.7,-25.57,0.504,-0.064,-0.17,16.7,-24.5,-26.7
c,50,42.68,317.15,-54.2,0.641,-0.148,0.169,11.3,-20.9,-22.8
c,51,35.79,293.22,-88.07,0.805,-0.268,0.405,5.7,-18.7,-19.4
c,49,33.1,146.5,-134.03,0.979,-0.334,0.524,7.4,-17,-18
c,51,36.4,61.05,-151.24,0.804,-0.323,0.532,11.5,-15.7,-17.1
c,49,10.27,89.98,-146.48,1.169,-0.195,0.638,7.1,-15.2,-24.3
c,52,-7.67,68.19,-108.27,1.227,-0.216,0.591,3.5,-15.6,-30
c,48,-28.18,41.45,-66.4,1.306,-0.181,0.517,1.5,-16.9,-33.1
c,56,-21.53,-23.55,-18.31,1.227,-0.085,0.275,13.9,-16,-27.1
c,45,-26.84,-13.48,-9.33,0.815,0.069,0.357,22.3,-14,-19.9
c,50,1.12,13.01,-4.57,1.15,0.11,0.198,30.2,-11,-15.6
c,50,10.52,-10.3,-4.45,0.855,0.036,0.46,35.4,-8.6,-9.2
c,50,-0.35,-5.18,-6.89,0.888,-0.007,0.518,39.2,-7.4,-3.6
c,50,-5.96,-3.53,-7.69,0.876,0.018,0.507,42.5,-6.4,1.1
c,50,-3.83,0.56,-4.39,0.87,0.065,0.49,45.2,-5,5.1
c,50,-2.91,4.65,-3.84,0.879,0.05,0.51,47.2,-4,8.7
c,52,-2.61,-0.42,-1.52,0.882,0.062,0.499,49.2,-3,11.8
c,48,-2.36,1.54,-2.19,0.886,0.09,0.494,50.8,-1.9,14.3
c,51,-0.29,0.13,-0.12,0.888,0.065,0.49,52.3,-1,16.4
c,50,-0.53,1.42,-1.09,0.872,0.071,0.504,53.3,-0.3,18.4
c,50,2.03,1.29,-0.18,0.88,0.067,0.494,54.4,0.4,20
c,52,1.85,-1.76,0.19,0.878,0.067,0.5,55.3,1,21.5
c,49,2.77,-0.05,-0.48,0.902,0.077,0.482,56.2,1.6,22.4
c,50,1.54,-1.64,-0.24,0.868,0.071,0.498,56.9,2,23.5
c,50,1.73,-0.78,-0.3,0.891,0.067,0.5,57.4,2.4,24.4
c,50,1.42,0.93,0.43,0.88,0.063,0.498,57.8,2.6,25.1
c,51,1.73,0.87,1.77,0.895,0.063,0.497,58.2,2.8,25.8
c,51,1.06,0.07,1.16,0.891,0.076,0.485,58.7,3.1,26.3
c,53,0.51,-0.84,0.19,0.881,0.063,0.493,59,3.2,26.7
c,49,-0.41,0.38,-1.03,0.886,0.063,0.496,59.2,3.2,27
c,50,-1.57,-2.37,-1.4,0.895,0.071,0.481,59.6,3.3,27.1
c,50,-1.08,0.44,-2.44,0.884,0.07,0.49,59.8,3.3,27.3
c,50,-1.14,-1.88,-1.52,0.886,0.06,0.496,60,3.3,27.5
Next Letter: d,,,,,,,,,,
d,53,1.85,7.46,-5,0.93,0.035,0.317,71.1,2.4,17.6
d,49,-0.16,16.31,-4.02,1.029,-0.001,0.364,70.4,2,17.7
d,52,-3.77,12.1,-4.21,0.905,0.065,0.363,69.4,2.1,18.2
d,48,-10.36,11.61,-13.36,0.895,0.078,0.345,68.8,2.1,18
d,50,-10.97,9.41,-16.6,0.968,0.071,0.41,68.1,1.9,18.1
d,50,-9.93,2.39,-13.06,0.961,0.075,0.444,67.5,1.8,18.5
d,50,-8.59,4.1,-9.58,0.882,0.117,0.415,66.8,2.2,19.1
d,50,-4.01,6.42,-9.33,0.886,0.083,0.399,66.3,2.4,19.4
d,50,-0.47,5.44,-5,0.896,0.049,0.416,65.9,2.5,20
d,53,1.97,5.14,-1.58,0.932,0.129,0.408,65.6,3.3,20.5
d,47,3.62,6.36,0.19,0.922,0.128,0.394,65.3,4,20.9
d,51,8.62,0.74,7.51,1.236,0.154,0.157,67.5,4.8,19.1
d,50,52.2,-31.12,65.62,1.84,0.221,-0.184,69,7.5,22.4
d,50,93.28,-169.18,194.22,2.266,0.044,-0.072,77.5,12.1,32.1
d,51,90.41,-375.66,321.54,2.032,-0.119,0.378,96.7,16.7,48.5
d,49,92.36,-504.14,326.91,1.181,-0.174,0.432,113.4,16.9,57.8
d,50,149.92,-601.86,246.28,0.351,-0.141,0.458,127.4,18.7,67.2
d,52,131.18,-349.54,61.53,-0.321,-0.16,0.387,118.1,19,66.9
d,49,10.15,-119.62,-55.84,0.018,0.198,0.467,105.7,20,64.6
d,68,-190.35,-2.98,-124.94,0.049,0.075,0.464,90.9,7.4,59.5
d,33,-313.15,127.45,-176.14,0.162,0.03,0.177,86.7,-2.9,53.7
d,50,-355.45,229.57,-189.33,0.811,-0.077,-0.452,73,-18.3,33.3
d,50,-269.88,67.39,-94.84,1.563,0.222,-2.346,69.7,-31.8,28.5
d,49,72.35,111.46,8.24,1.173,-0.134,-2.754,64.2,-28.3,28.9
d,50,250.08,-149.77,84.54,1.144,-0.323,-1.604,71.7,-15.8,33.2
d,87,305.01,-117.42,141.48,0.883,-0.548,-0.692,81.9,10.8,45.5
d,65,244.77,-121.26,185,0.785,-0.628,-0.197,83.8,17,47.2
d,2,146.5,-39.29,199.1,0.434,-0.506,-0.034,77.4,7.3,40
d,56,10.76,30.65,183.41,0.189,-0.211,0.136,69.9,0.4,46.6
d,46,-94.65,40.84,149.91,0.011,-0.029,0.153,68,-4,53.5
d,45,-163.49,84.3,98.33,-0.173,0.105,0.113,64.2,-11.3,57.9
d,51,-212.63,142.65,33.57,-0.139,0.255,-0.218,45,-12.1,45.1
d,53,-214.28,198.8,-32.77,0.103,0.479,-0.556,30.5,-13.9,29.6
d,50,-150.37,162.37,-84.96,0.373,0.76,-1.229,22.4,-21.5,25.3
